"class","注音_class","去聲調_class"
"系統晶片設計","ㄒㄧˋㄊㄨㄥˇㄐㄧㄥㄆㄧㄢˋㄕㄜˋㄐㄧˋ","ㄒㄧㄊㄨㄥㄐㄧㄥㄆㄧㄢㄕㄜㄐㄧ"
"光纖通訊專論","ㄍㄨㄤㄒㄧㄢㄊㄨㄥㄒㄩㄣˋㄓㄨㄢㄌㄨㄣˋ","ㄍㄨㄤㄒㄧㄢㄊㄨㄥㄒㄩㄣㄓㄨㄢㄌㄨㄣ"
"OrCAD電子電路設計","OrCADㄉㄧㄢˋㄗˇㄉㄧㄢˋㄌㄨˋㄕㄜˋㄐㄧˋ","OrCADㄉㄧㄢㄗㄉㄧㄢㄌㄨㄕㄜㄐㄧ"
"訊號與系統","ㄒㄩㄣˋㄏㄠˋㄩˇㄒㄧˋㄊㄨㄥˇ","ㄒㄩㄣㄏㄠㄩㄒㄧㄊㄨㄥ"
"電子電路設計","ㄉㄧㄢˋㄗˇㄉㄧㄢˋㄌㄨˋㄕㄜˋㄐㄧˋ","ㄉㄧㄢㄗㄉㄧㄢㄌㄨㄕㄜㄐㄧ"
"超大型積體電路導論","ㄔㄠㄉㄚˋㄒㄧㄥˊㄐㄧㄊㄧˇㄉㄧㄢˋㄌㄨˋㄉㄠˇㄌㄨㄣˋ","ㄔㄠㄉㄚㄒㄧㄥㄐㄧㄊㄧㄉㄧㄢㄌㄨㄉㄠㄌㄨㄣ"
"光纖通訊","ㄍㄨㄤㄒㄧㄢㄊㄨㄥㄒㄩㄣˋ","ㄍㄨㄤㄒㄧㄢㄊㄨㄥㄒㄩㄣ"
"電磁波","ㄉㄧㄢˋㄘˊㄅㄛ","ㄉㄧㄢㄘㄅㄛ"
"太陽電池導論","ㄊㄞˋㄧㄤˊㄉㄧㄢˋㄔˊㄉㄠˇㄌㄨㄣˋ","ㄊㄞㄧㄤㄉㄧㄢㄔㄉㄠㄌㄨㄣ"
"深度學習概論","ㄕㄣㄉㄨˋㄒㄩㄝˊㄒㄧˊㄍㄞˋㄌㄨㄣˋ","ㄕㄣㄉㄨㄒㄩㄝㄒㄧㄍㄞㄌㄨㄣ"
"計量技術概論","ㄐㄧˋㄌㄧㄤˊㄐㄧˋㄕㄨˋㄍㄞˋㄌㄨㄣˋ","ㄐㄧㄌㄧㄤㄐㄧㄕㄨㄍㄞㄌㄨㄣ"
"奈米電子元件","ㄋㄞˋㄇㄧˇㄉㄧㄢˋㄗˇㄩㄢˊㄐㄧㄢˋ","ㄋㄞㄇㄧㄉㄧㄢㄗㄩㄢㄐㄧㄢ"
"職場英文","ㄓˊㄔㄤˊㄧㄥㄨㄣˊ","ㄓㄔㄤㄧㄥㄨㄣ"
"智慧型系統","ㄓˋㄏㄨㄟˋㄒㄧㄥˊㄒㄧˋㄊㄨㄥˇ","ㄓㄏㄨㄟㄒㄧㄥㄒㄧㄊㄨㄥ"
"嵌入式系統實務","ㄑㄧㄢㄖㄨˋㄕˋㄒㄧˋㄊㄨㄥˇㄕˊㄨˋ","ㄑㄧㄢㄖㄨㄕㄒㄧㄊㄨㄥㄕㄨ"
